"","candidate","district","borough","votes","party","olpr.winner"
"Write-In3874","HATEM EL-GAMASY","47","Kings County",3,"Write-In3874",0
"Write-In3875","HAVIV RETTIG GUR","47","Kings County",1,"Write-In3875",0
"Write-In3876","HENRY KOSACOUSKY","47","Kings County",1,"Write-In3876",0
"Write-In3877","INNA VERNIKOV","47","Kings County",4,"Write-In3877",0
"Write-In3878","JACOB ANATOLY REARICK","47","Kings County",2,"Write-In3878",0
"Write-In3879","JAVON PARHAM","47","Kings County",1,"Write-In3879",0
"Write-In3880","KAREEM ABDELRAHMAN","47","Kings County",1,"Write-In3880",0
"Write-In3881","KIMBERLY MARTINEZ","47","Kings County",1,"Write-In3881",0
"Write-In3882","LINDA HARRISON","47","Kings County",3,"Write-In3882",0
"Write-In3883","LUCY ACEUEDO MUSICA","47","Kings County",1,"Write-In3883",0
"Write-In3884","MARC ANTONIO ERRICO","47","Kings County",1,"Write-In3884",0
"Write-In3885","MARTIN GOLDEN","47","Kings County",1,"Write-In3885",0
"Write-In3886","MARTY DOLAN","47","Kings County",1,"Write-In3886",0
"Write-In3887","MASIZ MANDAL","47","Kings County",1,"Write-In3887",0
"Write-In3888","MICHAEL G ACFF","47","Kings County",1,"Write-In3888",0
"Write-In3889","NADIA KHARIYA","47","Kings County",1,"Write-In3889",0
"Write-In3890","NICHOLAS S DELLI PAOLI","47","Kings County",1,"Write-In3890",0
"Write-In3891","PRISCILLA CONSOLO","47","Kings County",1,"Write-In3891",0
"Write-In3892","RICHIE BARSAMIAN","47","Kings County",3,"Write-In3892",0
"Write-In3893","RUSSELL TSYGRAN","47","Kings County",1,"Write-In3893",0
"Write-In3894","SAMANTHA ROSS","47","Kings County",1,"Write-In3894",0
"Write-In3895","SHAHANA K. MANIC","47","Kings County",1,"Write-In3895",0
"Write-In3896","SIMCHA FELDER","47","Kings County",3,"Write-In3896",0
"Write-In3897","SUSAN ZHUANG","47","Kings County",5,"Write-In3897",0
"Write-In3898","UNATTRIBUTABLE WRITE-IN","47","Kings County",27,"Write-In3898",0
"Write-In3899","YING ZHANG","47","Kings County",1,"Write-In3899",0
"Write-In3900","AARON HANDLER","48","Kings County",1,"Write-In3900",0
"Write-In3901","AARON JUDGE","48","Kings County",1,"Write-In3901",0
"Write-In3902","AARON ZARZAR","48","Kings County",1,"Write-In3902",0
"Write-In3903","ABU SUHAIB","48","Kings County",1,"Write-In3903",0
"Write-In3904","ADAM J PODBER","48","Kings County",1,"Write-In3904",0
"Write-In3905","ADAM KINZINGER","48","Kings County",1,"Write-In3905",0
"Write-In3906","ADAM SANDLER","48","Kings County",1,"Write-In3906",0
"Write-In3907","AHMAD USMAN","48","Kings County",1,"Write-In3907",0
"Write-In3908","AL HELD","48","Kings County",1,"Write-In3908",0
"Write-In3909","ALAINA JOHNSON","48","Kings County",1,"Write-In3909",0
"Write-In3910","ALAM AROV","48","Kings County",1,"Write-In3910",0
"Write-In3911","ALEXANDIR HYMOWITZ","48","Kings County",1,"Write-In3911",0
"Write-In3912","ALEXANDRA OCASIO CORTEZ","48","Kings County",1,"Write-In3912",0
"Write-In3913","ALLAN LEVNTHAL","48","Kings County",1,"Write-In3913",0
"Write-In3914","ALPHONSO WALKER JR.","48","Kings County",1,"Write-In3914",0
"Write-In3915","ALTHEA STEVENS","48","Kings County",1,"Write-In3915",0
"Write-In3916","ALYOSHA STEPSNOV","48","Kings County",1,"Write-In3916",0
"Write-In3917","AMBER ADLER","48","Kings County",12,"Write-In3917",0
"Write-In3918","AMY ADLER","48","Kings County",1,"Write-In3918",0
"Write-In3919","ANDREA RAMIREZ","48","Kings County",1,"Write-In3919",0
"Write-In3920","ANDREW M. CUOMO","48","Kings County",4,"Write-In3920",0
"Write-In3921","ANGELA KING","48","Kings County",1,"Write-In3921",0
"Write-In3922","ANGELA PINK","48","Kings County",11,"Write-In3922",0
"Write-In3923","ANNA CHEN FIT","48","Kings County",1,"Write-In3923",0
"Write-In3924","ANTHONY MONTANA","48","Kings County",1,"Write-In3924",0
"Write-In3925","ANTONIO REYNOSO","48","Kings County",2,"Write-In3925",0
"Write-In3926","ARI KAGAN","48","Kings County",19,"Write-In3926",0
"Write-In3927","ARIEL J EBADCH","48","Kings County",1,"Write-In3927",0
"Write-In3928","AUBRY JORDAN","48","Kings County",1,"Write-In3928",0
"Write-In3929","AVI KAGAN","48","Kings County",1,"Write-In3929",0
"Write-In3930","BARACK OBAMA","48","Kings County",3,"Write-In3930",0
"Write-In3931","BARRY GORDON","48","Kings County",1,"Write-In3931",0
"Write-In3932","BENJAMIN W. SCHAEFFER","48","Kings County",1,"Write-In3932",0
"Write-In3933","BENNY LIA","48","Kings County",1,"Write-In3933",0
"Write-In3934","BERNIE SANDERS","48","Kings County",8,"Write-In3934",0
"Write-In3935","BEULAH GOLDSTIEN","48","Kings County",1,"Write-In3935",0
"Write-In3936","BILL MAKER","48","Kings County",1,"Write-In3936",0
"Write-In3937","BOB SMITH","48","Kings County",1,"Write-In3937",0
"Write-In3938","BOGDAN CHAGUNOV","48","Kings County",1,"Write-In3938",0
"Write-In3939","BORIS NOBLE","48","Kings County",3,"Write-In3939",0
"Write-In3940","BRAD LANDER","48","Kings County",7,"Write-In3940",0
"Write-In3941","BRADLEY HIGHFIELD","48","Kings County",1,"Write-In3941",0
"Write-In3942","BRADLEY SCHWARTZ","48","Kings County",1,"Write-In3942",0
"Write-In3943","BRIAN CHAN","48","Kings County",1,"Write-In3943",0
"Write-In3944","BRUCE LEIBOWITZ","48","Kings County",2,"Write-In3944",0
"Write-In3945","BRUCE SPRINGSTERN","48","Kings County",1,"Write-In3945",0
"Write-In3946","BRYANT BARUSDOSE","48","Kings County",1,"Write-In3946",0
"Write-In3947","CAM SKATTEBO","48","Kings County",1,"Write-In3947",0
"Write-In3948","CAMILA KUIMOTO","48","Kings County",1,"Write-In3948",0
"Write-In3949","CANDICE BATINE","48","Kings County",1,"Write-In3949",0
"Write-In3950","CARLOS SANCHEZ-BAKMAN","48","Kings County",1,"Write-In3950",0
"Write-In3951","CLAUDIA PAUL","48","Kings County",1,"Write-In3951",0
"Write-In3952","CONAN OBRIEN","48","Kings County",1,"Write-In3952",0
"Write-In3953","CORSON RASTAN YATES","48","Kings County",1,"Write-In3953",0
"Write-In3954","CRYSTAL HUDSON","48","Kings County",1,"Write-In3954",0
"Write-In3955","CURTIS A. SLIWA","48","Kings County",8,"Write-In3955",0
"Write-In3956","DALLENE BARON","48","Kings County",1,"Write-In3956",0
"Write-In3957","DAN RICCARDI","48","Kings County",1,"Write-In3957",0
"Write-In3958","DANNY MEYER","48","Kings County",1,"Write-In3958",0
"Write-In3959","DARLENE HEALY","48","Kings County",1,"Write-In3959",0
"Write-In3960","DAVID M CARR","48","Kings County",1,"Write-In3960",0
"Write-In3961","DAVID STOROBIN","48","Kings County",1,"Write-In3961",0
"Write-In3962","DELON EDWARDS","48","Kings County",1,"Write-In3962",0
"Write-In3963","DENIS SENDIOUK","48","Kings County",1,"Write-In3963",0
"Write-In3964","DESIRE ORTIZ","48","Kings County",1,"Write-In3964",0
"Write-In3965","DIANA S. SZOCHET","48","Kings County",1,"Write-In3965",0
"Write-In3966","DONALD J. TRUMP","48","Kings County",4,"Write-In3966",0
"Write-In3967","DYLAN CASCLINO","48","Kings County",1,"Write-In3967",0
"Write-In3968","EDWARD JAWORSKI","48","Kings County",2,"Write-In3968",0
"Write-In3969","EMELY ROJOS","48","Kings County",1,"Write-In3969",0
"Write-In3970","EMRIC DUBUVSKY","48","Kings County",1,"Write-In3970",0
"Write-In3971","ERIC L. ADAMS","48","Kings County",2,"Write-In3971",0
"Write-In3972","ETHAN OSIS","48","Kings County",1,"Write-In3972",0
"Write-In3973","EUGENIA ROSOLOVSKY","48","Kings County",1,"Write-In3973",0
"Write-In3974","FARAH N. LOUIS","48","Kings County",4,"Write-In3974",0
"Write-In3975","FELIPE BENITO","48","Kings County",1,"Write-In3975",0
"Write-In3976","GALINA RUDAYA","48","Kings County",1,"Write-In3976",0
"Write-In3977","GARRETT HERMAN","48","Kings County",1,"Write-In3977",0
"Write-In3978","GEORGE ZORKO","48","Kings County",2,"Write-In3978",0
"Write-In3979","GORDAN RAMSEY","48","Kings County",1,"Write-In3979",0
"Write-In3980","GREG OZERSKIY","48","Kings County",2,"Write-In3980",0
"Write-In3981","GREG OZERSKY","48","Kings County",1,"Write-In3981",0
"Write-In3982","HAKEEM JEFFRIES","48","Kings County",4,"Write-In3982",0
"Write-In3983","HATEM EL-GAMASY","48","Kings County",1,"Write-In3983",0
"Write-In3984","HELEN WEINSTEIN","48","Kings County",1,"Write-In3984",0
"Write-In3985","JABARAN AKRAM","48","Kings County",1,"Write-In3985",0
"Write-In3986","JACOB REISER","48","Kings County",1,"Write-In3986",0
"Write-In3987","JACQUELINE KESSLER DEMOCRAT","48","Kings County",1,"Write-In3987",0
"Write-In3988","JALEN BRUNSON","48","Kings County",5,"Write-In3988",0
"Write-In3989","JAMES WHEATON","48","Kings County",1,"Write-In3989",0
"Write-In3990","JASON NADBOY","48","Kings County",1,"Write-In3990",0
"Write-In3991","JENNIFER GUTIERREZ","48","Kings County",1,"Write-In3991",0
"Write-In3992","JENNIFER MILLER","48","Kings County",1,"Write-In3992",0
"Write-In3993","JEROME F HOFFMAN","48","Kings County",1,"Write-In3993",0
"Write-In3994","JIM WALDEN","48","Kings County",1,"Write-In3994",0
"Write-In3995","JOE BLUE","48","Kings County",1,"Write-In3995",0
"Write-In3996","JOHN MCFARLAND","48","Kings County",1,"Write-In3996",0
"Write-In3997","JOHN POLK","48","Kings County",1,"Write-In3997",0
"Write-In3998","JOHN-CHRISTIAN DAVEY","48","Kings County",2,"Write-In3998",0
"Write-In3999","JOHNY CHEESE","48","Kings County",1,"Write-In3999",0
"Write-In4000","JON NAVARRO","48","Kings County",1,"Write-In4000",0
"Write-In4001","JOSEPH MASSRY","48","Kings County",1,"Write-In4001",0
"Write-In4002","JOSEPH R. BIDEN","48","Kings County",1,"Write-In4002",0
"Write-In4003","JOSEPH WAPNER","48","Kings County",1,"Write-In4003",0
"Write-In4004","JUDITH SHEINDLIN","48","Kings County",1,"Write-In4004",0
"Write-In4005","JULIE MENIN","48","Kings County",1,"Write-In4005",0
"Write-In4006","JUMAANE D. WILLIAMS","48","Kings County",2,"Write-In4006",0
"Write-In4007","KAMALA HARRIS","48","Kings County",1,"Write-In4007",0
"Write-In4008","KANYE WEST","48","Kings County",1,"Write-In4008",0
"Write-In4009","KAREN PARFAIT","48","Kings County",1,"Write-In4009",0
"Write-In4010","KATERINA KING","48","Kings County",1,"Write-In4010",0
"Write-In4011","KATHLEEN SIORIS","48","Kings County",1,"Write-In4011",0
"Write-In4012","KATHRYN GARCIA","48","Kings County",1,"Write-In4012",0
"Write-In4013","KAYLA SANTOSUOSSO","48","Kings County",1,"Write-In4013",0
"Write-In4014","KENNETH GILBERT","48","Kings County",2,"Write-In4014",0
"Write-In4015","KIM NAMJOON","48","Kings County",1,"Write-In4015",0
"Write-In4016","KING HENRY","48","Kings County",1,"Write-In4016",0
"Write-In4017","LAMINE YAMAL","48","Kings County",1,"Write-In4017",0
"Write-In4018","LARRY BANKS","48","Kings County",1,"Write-In4018",0
"Write-In4019","LARRY DAVID","48","Kings County",1,"Write-In4019",0
"Write-In4020","LARRY JEMOTT","48","Kings County",1,"Write-In4020",0
"Write-In4021","LARYSA LUTUGRENKO","48","Kings County",1,"Write-In4021",0
"Write-In4022","LEEANN FALCIANI","48","Kings County",1,"Write-In4022",0
"Write-In4023","LEW FIDLER","48","Kings County",1,"Write-In4023",0
"Write-In4024","LEWIS JORDAN","48","Kings County",1,"Write-In4024",0
"Write-In4025","LILLAN ALLEN","48","Kings County",1,"Write-In4025",0
"Write-In4026","LINCOLN RESTLER","48","Kings County",1,"Write-In4026",0
"Write-In4027","MARIA NOVAKHOV","48","Kings County",1,"Write-In4027",0
"Write-In4028","MARIGA DEVEL","48","Kings County",1,"Write-In4028",0
"Write-In4029","MARK GRIFFITH","48","Kings County",1,"Write-In4029",0
"Write-In4030","MARTY DOLAN","48","Kings County",1,"Write-In4030",0
"Write-In4031","MARTY MARKOWITZ","48","Kings County",1,"Write-In4031",0
"Write-In4032","MARWAN BARGHOUTI","48","Kings County",1,"Write-In4032",0
"Write-In4033","MARZIYA HASAN","48","Kings County",1,"Write-In4033",0
"Write-In4034","MATT NEUMAN","48","Kings County",1,"Write-In4034",0
"Write-In4035","MATTHEW J. GRAVES","48","Kings County",1,"Write-In4035",0
"Write-In4036","MAURICE KOLODIN","48","Kings County",1,"Write-In4036",0
"Write-In4037","MAXWELL COSSOLO","48","Kings County",1,"Write-In4037",0
"Write-In4038","MAYA WILEY","48","Kings County",1,"Write-In4038",0
"Write-In4039","MERCEDES NARCISSE","48","Kings County",3,"Write-In4039",0
"Write-In4040","MICHAEL FURMAN","48","Kings County",1,"Write-In4040",0
"Write-In4041","MICHAEL LEWI","48","Kings County",1,"Write-In4041",0
"Write-In4042","MICHAEL MCGUIRE","48","Kings County",1,"Write-In4042",0
"Write-In4043","MICHAEL NOVAKHOV","48","Kings County",1,"Write-In4043",0
"Write-In4044","MICHAEL R BLOOMBERG","48","Kings County",1,"Write-In4044",0
"Write-In4045","MICHAEL SCHWARTZ","48","Kings County",1,"Write-In4045",0
"Write-In4046","MICHELLE OBAMA","48","Kings County",2,"Write-In4046",0
"Write-In4047","MIKAL BRIDGES","48","Kings County",1,"Write-In4047",0
"Write-In4048","MIKE BLOOMBERG","48","Kings County",1,"Write-In4048",0
"Write-In4049","MIKE SPENCER","48","Kings County",1,"Write-In4049",0
"Write-In4050","MIKHAIL ALLOY","48","Kings County",1,"Write-In4050",0
"Write-In4051","MILEY MUI","48","Kings County",1,"Write-In4051",0
"Write-In4052","MIRANDA NARCISSE","48","Kings County",1,"Write-In4052",0
"Write-In4053","MOTANA HERRERA","48","Kings County",1,"Write-In4053",0
"Write-In4054","MUHAMMAD TALHA ZAB","48","Kings County",1,"Write-In4054",0
"Write-In4055","MUSTAFA CEM KOLVCIJA","48","Kings County",1,"Write-In4055",0
"Write-In4056","MYKOLA KOSTYUK","48","Kings County",1,"Write-In4056",0
"Write-In4057","NICK NIKOLZ","48","Kings County",1,"Write-In4057",0
"Write-In4058","NIVARDO LOPEZ","48","Kings County",1,"Write-In4058",0
"Write-In4059","NOEL INFANTE","48","Kings County",1,"Write-In4059",0
"Write-In4060","NORMAN RESSNICK","48","Kings County",1,"Write-In4060",0
"Write-In4061","OSWALD FELIZ","48","Kings County",1,"Write-In4061",0
"Write-In4062","OYSTEIN AARSETH","48","Kings County",1,"Write-In4062",0
"Write-In4063","PAMELA JOSEPH","48","Kings County",1,"Write-In4063",0
"Write-In4064","PAPERBOY LOVE PRINCE","48","Kings County",5,"Write-In4064",0
"Write-In4065","PATRICK NIHAN","48","Kings County",1,"Write-In4065",0
"Write-In4066","PAUL SHANSKI","48","Kings County",1,"Write-In4066",0
"Write-In4067","PERRY LEONG","48","Kings County",1,"Write-In4067",0
"Write-In4068","PETE ALONZO","48","Kings County",1,"Write-In4068",0
"Write-In4069","PETER GRIFFIN","48","Kings County",1,"Write-In4069",0
"Write-In4070","RABIAH AZIZ","48","Kings County",1,"Write-In4070",0
"Write-In4071","RAPHAEL E. KASHTELIAM","48","Kings County",1,"Write-In4071",0
"Write-In4072","RAYSON CHEN","48","Kings County",1,"Write-In4072",0
"Write-In4073","RICK STEINER","48","Kings County",1,"Write-In4073",0
"Write-In4074","RITA C. JOSEPH","48","Kings County",1,"Write-In4074",0
"Write-In4075","ROBERT ECHEVARRIE","48","Kings County",1,"Write-In4075",0
"Write-In4076","ROBERT HAUPTMAN","48","Kings County",1,"Write-In4076",0
"Write-In4077","ROBERT MELAMED","48","Kings County",1,"Write-In4077",0
"Write-In4078","ROBERTA LAWSON","48","Kings County",1,"Write-In4078",0
"Write-In4079","ROGER CALERO","48","Kings County",1,"Write-In4079",0
"Write-In4080","ROMAN POPOV","48","Kings County",1,"Write-In4080",0
"Write-In4081","RONALD DITCHEK","48","Kings County",1,"Write-In4081",0
"Write-In4082","SAMIRA RASULI","48","Kings County",3,"Write-In4082",0
"Write-In4083","SAMMEL ELISON","48","Kings County",1,"Write-In4083",0
"Write-In4084","SAMMY ZALTA","48","Kings County",1,"Write-In4084",0
"Write-In4085","SANDRA BETELAK","48","Kings County",1,"Write-In4085",0
"Write-In4086","SARAH MILLER","48","Kings County",1,"Write-In4086",0
"Write-In4087","SEAN COMBS","48","Kings County",1,"Write-In4087",0
"Write-In4088","SHAHANA K. HANIF","48","Kings County",1,"Write-In4088",0
"Write-In4089","SHANEL THOMAS HENRY","48","Kings County",1,"Write-In4089",0
"Write-In4090","SHU FEN CHUS","48","Kings County",1,"Write-In4090",0
"Write-In4091","SIMCHA FELDER","48","Kings County",32,"Write-In4091",0
"Write-In4092","SIMONE FEBAR","48","Kings County",1,"Write-In4092",0
"Write-In4093","SIMONE FELDER","48","Kings County",1,"Write-In4093",0
"Write-In4094","SO-WOON CHIAN","48","Kings County",1,"Write-In4094",0
"Write-In4095","SOSH DORON","48","Kings County",1,"Write-In4095",0
"Write-In4096","STACEY SHPANER","48","Kings County",1,"Write-In4096",0
"Write-In4097","STANLEY C FUNG","48","Kings County",1,"Write-In4097",0
"Write-In4098","STEPHEN CYPROWITZ","48","Kings County",1,"Write-In4098",0
"Write-In4099","STEVEN BURRISON","48","Kings County",1,"Write-In4099",0
"Write-In4100","STEVEN CYMBROWITZ","48","Kings County",1,"Write-In4100",0
"Write-In4101","STEVEN H EBBIN","48","Kings County",2,"Write-In4101",0
"Write-In4102","SUSAN ZHUANG","48","Kings County",3,"Write-In4102",0
"Write-In4103","TIFFANY SMITH","48","Kings County",2,"Write-In4103",0
"Write-In4104","TIMAR KHUSAINOV","48","Kings County",1,"Write-In4104",0
"Write-In4105","TINA MARRONE","48","Kings County",1,"Write-In4105",0
"Write-In4106","UNATTRIBUTABLE WRITE-IN","48","Kings County",378,"Write-In4106",0
"Write-In4107","VICTORIA WOODHULL","48","Kings County",1,"Write-In4107",0
"Write-In4108","VLAD ZELENSKY","48","Kings County",1,"Write-In4108",0
"Write-In4109","YU YANG LAI","48","Kings County",1,"Write-In4109",0
"Write-In4110","YUSEF SALAAM","48","Kings County",1,"Write-In4110",0
"Write-In4111","YVES H. ANTTNER","48","Kings County",1,"Write-In4111",0
"Write-In4112","ZOHRAN KWAME MAMDANI","48","Kings County",18,"Write-In4112",0
"Write-In534","ALAN WATT","34","Kings County",1,"Write-In534",0
"Write-In535","ALBERT WARECKI","34","Kings County",1,"Write-In535",0
"Write-In536","ALEX MERI","34","Kings County",1,"Write-In536",0
"Write-In537","ALEXANDER WEINER","34","Kings County",1,"Write-In537",0
"Write-In538","ALLEN DAVIDSON","34","Kings County",1,"Write-In538",0
"Write-In539","ANDREAS BOJMANA","34","Kings County",1,"Write-In539",0
"Write-In540","ANDREW BRADFORD","34","Kings County",1,"Write-In540",0
"Write-In541","ANDREW M. CUOMO","34","Kings County",1,"Write-In541",0
"Write-In542","ANDY CROSBY","34","Kings County",1,"Write-In542",0
"Write-In543","ANGELO MASULLO","34","Kings County",1,"Write-In543",0
"Write-In544","ANTHONY HOYOS","34","Kings County",1,"Write-In544",0
"Write-In545","AURORA LEIGH","34","Kings County",1,"Write-In545",0
"Write-In546","AVIGDOR MILLER","34","Kings County",1,"Write-In546",0
"Write-In547","BELA REY-KISS","34","Kings County",1,"Write-In547",0
"Write-In548","BELLA ENRIQUEZ","34","Kings County",1,"Write-In548",0
"Write-In549","BEPEN NEUPANE","34","Kings County",1,"Write-In549",0
"Write-In550","CHAYA STAVBER","34","Kings County",1,"Write-In550",0
"Write-In551","CHI AJANI OSSE","34","Kings County",2,"Write-In551",0
"Write-In552","CHISTAN LAU","34","Kings County",1,"Write-In552",0
"Write-In553","CHRISTOPHER MATLAND","34","Kings County",1,"Write-In553",0
"Write-In554","CURTIS A. SLIWA","34","Kings County",9,"Write-In554",0
"Write-In555","DANIEL GARODNICK","34","Kings County",1,"Write-In555",0
"Write-In556","DANIEL ZATERMAN","34","Kings County",1,"Write-In556",0
"Write-In557","DAVID WISENER","34","Kings County",1,"Write-In557",0
"Write-In558","DAVID ZONTAK","34","Kings County",1,"Write-In558",0
"Write-In559","DEBORAH SCROGGINS","34","Kings County",1,"Write-In559",0
"Write-In560","DONALD J TRUMP","34","Kings County",2,"Write-In560",0
"Write-In561","EDWIN H MORRIS","34","Kings County",1,"Write-In561",0
"Write-In562","ERIC L. ADAMS","34","Kings County",6,"Write-In562",0
"Write-In563","ERICA BAILEY","34","Kings County",1,"Write-In563",0
"Write-In564","FRA BELKIN","34","Kings County",1,"Write-In564",0
"Write-In565","GINA BARROS","34","Kings County",1,"Write-In565",0
"Write-In566","GIUSEPPE FALCO","34","Kings County",2,"Write-In566",0
"Write-In567","HANNA FREUND","34","Kings County",1,"Write-In567",0
"Write-In568","HANNAN SHARGMI","34","Kings County",1,"Write-In568",0
"Write-In569","ISAAC WALDMEN","34","Kings County",1,"Write-In569",0
"Write-In570","JANINE ACQUAFREDDA","34","Kings County",1,"Write-In570",0
"Write-In571","JAPERN NGAYCA","34","Kings County",1,"Write-In571",0
